index,time,S:Madeira__all,I:Madeira__all,R:Madeira__all,obs_mean:Madeira__ecdc__inc,obs_real:Madeira__ecdc__inc
1100,42,9900.43,1170.56,256231,292.825,285.665
1100,49,8930.31,1064.41,257307,265.039,269.441
1100,56,8203.62,1035.5,258063,256.683,257.936
1100,63,7700.63,841.632,258760,198.93,212.5
1100,70,7392.84,554.685,259354,122.922,107.787
1100,77,7357.53,339.641,259605,73.6658,63.5977
1100,84,7535.13,240.452,259526,53.8197,52.3791
1100,91,7772.75,147.105,259382,32.3134,33.1593
1100,98,8090.66,78.1805,259133,17.0265,24.3468
1100,105,8482,47.6305,258772,10.8431,8.51417
1100,112,8900.47,41.2518,258360,9.87313,10.2485
1100,119,9322.16,28.4226,257951,6.73977,7.84595
1150,0,13576.1,242.128,253484,0,0
1150,7,13710.9,256.296,253335,58.0159,71.8726
1150,14,13402.4,531.751,253368,128.774,151.248
1150,21,12848.1,776.533,253677,184.773,173.073
1150,28,12002.8,1023.42,254276,240.41,245.356
1150,35,10494.2,1432.18,255376,335.414,357.282
1150,42,9441.08,1267.03,256594,269.754,250.641
1150,49,8523.73,1170.04,257608,247.85,247.681
1150,56,7851.13,1146.31,258305,241.639,301.092
1150,63,7381.22,951.448,258969,189.713,166.485
1150,70,7083.29,651.841,259567,120.616,117.095
1150,77,7034.63,415.11,259852,74.7146,94.1449
1150,84,7189.23,294.816,259818,54.7891,44.8681
1150,91,7413.7,184.987,259703,33.6368,29.2926
1150,98,7721.42,102.973,259478,18.5265,18.6954
1150,105,8102.98,63.0349,259136,11.8899,15.8159
1150,112,8514.69,51.4576,258736,10.3182,11.3998
1150,119,8934.87,35.4961,258332,7.05738,3.90326
1200,0,14908.3,235.001,252159,0,0
1200,7,15028.3,243.047,252031,62.401,56.1969
1200,14,14722.8,499.578,252080,134.509,136.519
1200,21,14175.7,725.672,252401,193.241,174.45
1200,28,13343.2,952.834,253006,251.797,210.837
1200,35,11804.3,1349.51,254148,356.957,373.088
1200,42,10707.6,1182.64,255412,290.361,244.022
1200,49,9719.48,1085.8,256497,265.902,247.983
1200,56,8943.99,1064.78,257293,259.587,222.912
1200,63,8392.83,870.728,258038,202.401,169.52
1200,70,8045.95,577.45,258679,125.878,103.271
1200,77,7981.36,354.407,258966,75.5417,77.941
1200,84,8141.85,249.697,258910,54.8366,63.1479
1200,91,8366.84,152.506,258783,32.8397,34.7234
1200,98,8675.38,81.0255,258546,17.2761,16.8135
1200,105,9061.91,49.1443,258191,10.9412,10.7369
1200,112,9478.92,42.1844,257781,9.87581,11.5812
1200,119,9898.32,28.9929,257375,6.71707,10.7174
1250,0,14355.3,158.716,252788,0,0
1250,7,14567.2,170.161,252565,45.0561,38.5228
1250,14,14253.4,473.562,252575,129.57,131.035
1250,21,13660.3,732.314,252909,198.622,185.205
1250,28,12756.6,982.873,253563,264.813,273.443
1250,35,11133.2,1384.91,254784,373.449,374.621
1250,42,9921.7,1205.74,256175,302.761,326.885
1250,49,8886.44,1077.66,257338,268.741,300.413
1250,56,8164.97,1037.69,258099,257.71,254.299
1250,63,7662.21,834.793,258805,198.021,168.712
1250,70,7350.73,543.071,259408,120.952,132.908
1250,77,7319.96,329.484,259653,71.9031,83.4892
1250,84,7506.66,233.702,259562,52.6324,52.5556
1250,91,7747.54,142.573,259412,31.5345,38.674
1250,98,8066.72,75.4685,259160,16.56,15.6436
1250,105,8459.14,46.2038,258797,10.5854,11.7678
1250,112,8878.49,40.4492,258383,9.7176,10.2129
1250,119,9300.09,27.9086,257974,6.64803,6.68556
1300,0,16443.2,215.708,250643,0,0
1300,7,16560.7,235.94,250505,61.4861,59.2519
1300,14,16232.1,510.941,250559,138.044,142.115
1300,21,15630.2,765.133,250907,204.841,244.99
1300,28,14720,1021.43,251561,271.761,330.827
